club_id,club_code,name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,url
3609,rotor-volgograd,Rotor Volgograd,RU1,,27,23.9,2,7.4,0,Volgograd Arena,45568,€-13k,null,2020,https://www.transfermarkt.co.uk/rotor-volgograd/startseite/verein/3609
38,fortuna-dusseldorf,Fortuna Düsseldorf,L1,,29,25.9,12,41.4,2,MERKUR SPIEL-ARENA,54600,+€600k,null,2019,https://www.transfermarkt.co.uk/fortuna-dusseldorf/startseite/verein/38
4,1-fc-nurnberg,1.FC Nuremberg,L1,,33,25.2,7,21.2,2,Max-Morlock-Stadion,50000,+€2.63m,null,2018,https://www.transfermarkt.co.uk/1-fc-nurnberg/startseite/verein/4
403,willem-ii-tilburg,Willem II Tilburg,NL1,,27,25.9,7,25.9,0,Koning Willem II Stadion,14700,+€385k,null,2021,https://www.transfermarkt.co.uk/willem-ii-tilburg/startseite/verein/403
4102,carpi-fc-1909,AC Carpi,IT1,,25,23.6,6,24.0,1,Sandro Cabassi,5510,+-0,null,2015,https://www.transfermarkt.co.uk/carpi-fc-1909/startseite/verein/4102
415,fc-toulouse,FC Toulouse,FR1,,26,24.5,23,88.5,6,Stadium Municipal,33150,€-3.00m,null,2022,https://www.transfermarkt.co.uk/fc-toulouse/startseite/verein/415
449,trabzonspor,Trabzonspor,TR1,,30,25.7,13,43.3,14,Şenol Güneş Spor Kompleksi,40782,+€1.81m,null,2022,https://www.transfermarkt.co.uk/trabzonspor/startseite/verein/449
6418,panetolikos-gfs,Panetolikos GFS,GR1,,31,25.9,13,41.9,5,Gipedo Panetolikou,7321,+€100k,null,2022,https://www.transfermarkt.co.uk/panetolikos-gfs/startseite/verein/6418
79,vfb-stuttgart,VfB Stuttgart,L1,,30,23.6,16,53.3,8,Mercedes-Benz Arena,60449,+€37.81m,null,2022,https://www.transfermarkt.co.uk/vfb-stuttgart/startseite/verein/79
83678,metal-kharkiv,Metalist Kharkiv,UKR1,,26,25.5,4,15.4,0,Avangard,10640,€-820k,null,2022,https://www.transfermarkt.co.uk/metal-kharkiv/startseite/verein/83678
964,zenit-st-petersburg,Zenit St. Petersburg,RU1,,23,26.6,10,43.5,11,Gazprom Arena,63026,€-7.17m,null,2022,https://www.transfermarkt.co.uk/zenit-st-petersburg/startseite/verein/964
979,moreirense-fc,Moreirense FC,PO1,,25,26.6,16,64.0,1,E. C. J. de Almeida Freitas,6153,+€1.00m,null,2021,https://www.transfermarkt.co.uk/moreirense-fc/startseite/verein/979
1063,viborg-ff,Viborg FF,DK1,,24,23.7,13,54.2,4,Viborg Stadion,9566,+€3.22m,null,2022,https://www.transfermarkt.co.uk/viborg-ff/startseite/verein/1063
121,dinamo-moskau,Dynamo Moscow,RU1,,23,25.0,9,39.1,10,VTB-Arena,25716,€-6.38m,null,2022,https://www.transfermarkt.co.uk/dinamo-moskau/startseite/verein/121
18303,fk-oleksandriya,FK Oleksandriya,UKR1,,27,24.4,2,7.4,3,KSK Nika,7000,+-0,null,2022,https://www.transfermarkt.co.uk/fk-oleksandriya/startseite/verein/18303
19789,yeni-malatyaspor,Yeni Malatyaspor,TR1,,10,22.9,1,10.0,0,Yeni Malatya Stadyumu,25745,+€778k,null,2021,https://www.transfermarkt.co.uk/yeni-malatyaspor/startseite/verein/19789
2292,elazigspor,Elazigspor,TR1,,33,24.9,0,,0,Elazığ Doğukent Stadı,2500,+€17k,null,2013,https://www.transfermarkt.co.uk/elazigspor/startseite/verein/2292
2760,partick-thistle-fc,Partick Thistle FC,SC1,,19,27.9,1,5.3,0,The Energy Check Stadium at Firhill,10102,+-0,null,2017,https://www.transfermarkt.co.uk/partick-thistle-fc/startseite/verein/2760
367,rayo-vallecano,Rayo Vallecano,ES1,,25,28.8,8,32.0,4,Campo de Fútbol de Vallecas,15105,€-11.10m,null,2022,https://www.transfermarkt.co.uk/rayo-vallecano/startseite/verein/367
3709,fc-getafe,Getafe CF,ES1,,25,27.8,12,48.0,9,Coliseum Alfonso Pérez,16800,+€4.75m,null,2022,https://www.transfermarkt.co.uk/fc-getafe/startseite/verein/3709
380,us-salernitana-1919,US Salernitana 1919,IT1,,27,26.9,17,63.0,12,Arechi,29739,€-24.10m,null,2022,https://www.transfermarkt.co.uk/us-salernitana-1919/startseite/verein/380
41,hamburger-sv,Hamburger SV,L1,,30,23.6,15,50.0,4,Volksparkstadion,57000,€-6.00m,null,2017,https://www.transfermarkt.co.uk/hamburger-sv/startseite/verein/41
43,heart-of-midlothian-fc,Heart of Midlothian FC,SC1,,29,26.7,13,44.8,8,Tynecastle Park,19852,€-870k,null,2022,https://www.transfermarkt.co.uk/heart-of-midlothian-fc/startseite/verein/43
465,st-mirren-fc,St. Mirren FC,SC1,,26,26.4,15,57.7,6,The SMISA Stadium,8023,+€339k,null,2022,https://www.transfermarkt.co.uk/st-mirren-fc/startseite/verein/465
468,sparta-rotterdam,Sparta Rotterdam,NL1,,24,26.2,9,37.5,1,"Sparta-stadion ""Het Kasteel""",11026,+€2.19m,null,2022,https://www.transfermarkt.co.uk/sparta-rotterdam/startseite/verein/468
472,ud-las-palmas,UD Las Palmas,ES1,,26,26.8,6,23.1,1,Estadio de Gran Canaria,32400,€-500k,null,2017,https://www.transfermarkt.co.uk/ud-las-palmas/startseite/verein/472
660,shakhtar-donetsk,Shakhtar Donetsk,UKR1,,31,24.8,6,19.4,15,Arena Lviv,34915,+€102.90m,null,2022,https://www.transfermarkt.co.uk/shakhtar-donetsk/startseite/verein/660
749,fc-empoli,FC Empoli,IT1,,30,25.3,14,46.7,9,Carlo Castellani,19847,+€16.51m,null,2022,https://www.transfermarkt.co.uk/fc-empoli/startseite/verein/749
750,fc-sochaux-montbeliard,FC Sochaux-Montbéliard,FR1,,25,26.2,11,44.0,4,Stade Auguste-Bonal,20005,+€4.00m,null,2013,https://www.transfermarkt.co.uk/fc-sochaux-montbeliard/startseite/verein/750
82,vfl-wolfsburg,VfL Wolfsburg,L1,,25,24.8,15,60.0,10,Volkswagen Arena,30000,€-12.05m,null,2022,https://www.transfermarkt.co.uk/vfl-wolfsburg/startseite/verein/82
940,celta-vigo,Celta de Vigo,ES1,,23,26.5,10,43.5,6,Abanca Balaídos,29000,€-5.15m,null,2022,https://www.transfermarkt.co.uk/celta-vigo/startseite/verein/940
976,cf-uniao-madeira,CF União Madeira (-2021),PO1,,0,,0,,0,Centro Desportivo da Madeira,2500,+-0,null,2015,https://www.transfermarkt.co.uk/cf-uniao-madeira/startseite/verein/976
987,motherwell-fc,Motherwell FC,SC1,,29,25.9,17,58.6,4,Fir Park,13750,+€225k,null,2022,https://www.transfermarkt.co.uk/motherwell-fc/startseite/verein/987
